"cohort_month","cohort_index","active_customers","total_revenue"
"2010-08",11,20,7015.2
"2010-08",12,25,11227.05
"2010-08",13,30,18423.71
"2010-08",14,29,19568.92
"2010-08",15,32,19852.74
"2010-08",16,11,5620.11
"2010-09",0,240,119047.09
"2010-09",1,54,26534.08
"2010-09",2,56,31676.04
"2010-09",3,30,21548.17
"2010-09",4,22,13460.98
"2010-09",5,24,8292.17
"2010-09",6,32,23708.09
"2010-09",7,24,10868.03
"2010-09",8,31,16600.81
"2010-09",9,32,13422.73
"2010-09",10,28,19973.85
"2010-09",11,24,24926.76
"2010-09",12,53,62399.96
"2010-09",13,40,25522.12
"2010-09",14,39,36624.13
"2010-09",15,13,5552.91
"2010-10",0,377,181675.69
"2010-10",1,97,45373.08
"2010-10",2,55,29171.44
"2010-10",3,47,24316.99
"2010-10",4,34,12942.12
"2010-10",5,32,12544.44
"2010-10",6,49,17664.69
"2010-10",7,52,16100.83
"2010-10",8,40,21666.02
"2010-10",9,35,19520.94
"2010-10",10,40,13741.54
"2010-10",11,49,21166.43
"2010-10",12,71,48325.11
"2010-10",13,86,52917.45
"2010-10",14,26,10554.02
"2010-11",0,326,154366.45
"2010-11",1,56,36613.93
"2010-11",2,30,14254.84
"2010-11",3,31,9662.91
"2010-11",4,25,9548.95
"2010-11",5,28,10703.73
"2010-11",6,41,14906.7
"2010-11",7,32,10966.19
"2010-11",8,28,9639.21
"2010-11",9,29,10224.17
"2010-11",10,36,14846.86
"2010-11",11,47,19912.34
"2010-11",12,83,40452.24
"2010-11",13,20,6395.18
"2010-12",0,76,40468.33
"2010-12",1,7,2346.67
"2010-12",2,4,7007.27
"2010-12",3,7,1443.48
"2010-12",4,9,6148.32
"2010-12",5,5,1069.23
"2010-12",6,4,730.12
"2010-12",7,7,4857.24
"2010-12",8,4,601.09
"2010-12",9,2,500.83
"2010-12",10,7,1637.09
"2010-12",11,15,8686.91
"2010-12",12,2,485.13
"2011-01",0,70,27993.74
"2011-01",1,12,3784.08
"2011-01",2,15,3991.63
"2011-01",3,13,4929.98
"2011-01",4,15,8078.03
"2011-01",5,11,6446.85
"2011-01",6,11,5115.9
"2011-01",7,9,5545.55
"2011-01",8,8,4506.13
"2011-01",9,15,11442.4
"2011-01",10,18,10510.28
"2011-01",11,8,3627.79
"2011-02",0,125,42382.73
"2011-02",1,20,7242.01
"2011-02",2,19,10587.8
"2011-02",3,23,10407.91
"2011-02",4,27,9244.71
"2011-02",5,19,5561.99
"2011-02",6,19,7229.97
"2011-02",7,18,9198.62
"2011-02",8,18,6335.62
"2011-02",9,21,6604.67
"2011-02",10,7,1612.37
"2011-03",0,179,76803.61
"2011-03",1,33,15403.94
"2011-03",2,39,19314.54
"2011-03",3,36,16225.27
"2011-03",4,40,16396.9
"2011-03",5,27,10581.71
"2011-03",6,36,14085.35
"2011-03",7,36,17712.05
"2011-03",8,43,20374.78
"2011-03",9,16,5629.03
"2011-04",0,106,41160.58
"2011-04",1,27,13386.42
"2011-04",2,21,7728.63
"2011-04",3,21,7254.07
"2011-04",4,19,5794.67
"2011-04",5,25,11215.66
"2011-04",6,19,6156.78
"2011-04",7,27,11452.12
"2011-04",8,12,3924.77
"2011-05",0,109,50657.4
"2011-05",1,26,9336.7
"2011-05",2,27,10377.22
"2011-05",3,18,6448.99
"2011-05",4,24,10577.4
"2011-05",5,23,10492.46
"2011-05",6,29,14252.12
"2011-05",7,12,4197.27
"2011-06",0,108,83815.28
"2011-06",1,25,8974.92
"2011-06",2,23,7899.14
"2011-06",3,29,10730.01
"2011-06",4,22,9856.23
"2011-06",5,31,14520.42
"2011-06",6,9,2485.21
"2011-07",0,101,42689.56
"2011-07",1,22,7644.76
"2011-07",2,31,11520.85
"2011-07",3,28,12267.69
"2011-07",4,34,14607.62
"2011-07",5,16,4528.84
"2011-08",0,106,45060.08
"2011-08",1,28,17853.31
"2011-08",2,33,31427.93
"2011-08",3,28,40050.63
"2011-08",4,18,13965.72
"2011-09",0,190,97030.55
"2011-09",1,51,19822.36
"2011-09",2,71,31425.96
"2011-09",3,28,10245.79
"2011-10",0,220,107827.69
"2011-10",1,71,33768.66
"2011-10",2,35,9882.57
"2011-11",0,191,81260.19
"2011-11",1,26,10183.97
"2011-12",0,27,9591.89
